IDno,date_in,get,sex_age,date_out,year_month,Month,Year,month_year,distemper,rabies,venereal_cancer,Female,Adult,Owned,Pregnant
30,4/7/2013,hand,F,31/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
31,4/7/2013,hand,F,4/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
32,4/7/2013,hand,Fy,4/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
33,4/7/2013,hand,Fy,4/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
138,4/7/2013,hand,F,4/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
193,4/7/2013,hand,Fy,4/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
35,5/7/2013,hand,Fy,5/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
36,5/7/2013,hand,M,5/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,1,0
37,5/7/2013,hand,F,5/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,1,0
29,6/7/2013,hand,M,7/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
38,6/7/2013,hand,F,6/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,1,0
39,6/7/2013,hand,M,6/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,1,0
40,8/7/2013,hand,Fpup,8/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,1,0
41,8/7/2013,hand,Mpup,8/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,0,1,0
42,8/7/2013,hand,M,8/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,1,0
43,8/7/2013,hand,M,8/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,1,0
44,8/7/2013,hand,F,8/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
45,8/7/2013,hand,Fy,8/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
46,8/7/2013,hand,Fy,9/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
47,9/7/2013,hand,My,9/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,0,0,0
48,9/7/2013,hand,My,9/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,0,0,0
49,9/7/2013,hand,Fy,9/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
50,9/7/2013,hand,My,9/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,0,0,0
51,9/7/2013,hand,Fy,9/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
52,9/7/2013,hand,M,9/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
53,9/7/2013,hand,F,9/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
56,10/7/2013,hand,M,10/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
57,10/7/2013,hand,M,10/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
58,10/7/2013,hand,M,10/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
59,10/7/2013,hand,Mpup,10/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,0,0,0
60,10/7/2013,hand,F,10/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
61,10/7/2013,hand,Mpup,10/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,0,0,0
62,10/7/2013,hand,Fy,10/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
63,10/7/2013,hand,M,10/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
66,10/7/2013,hand,M,10/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
67,10/7/2013,hand,Fy,10/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
64,11/7/2013,hand,M,11/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
65,11/7/2013,hand,F,11/7/2013,2013_07,7,2013,Jul-13,0,0,1,1,1,0,0
68,11/7/2013,hand,M,11/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
69,11/7/2013,hand,M,11/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
70,11/7/2013,hand,M,11/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
71,12/7/2013,hand,F,12/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
72,12/7/2013,hand,F,12/7/2013,2013_07,7,2013,Jul-13,0,0,1,1,1,0,0
73,12/7/2013,hand,F,12/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
74,12/7/2013,hand,Mpup,12/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,0,0,0
75,12/7/2013,hand,Fy,12/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
76,12/7/2013,hand,Fy,12/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
79,13/7/2013,hand,M,13/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
80,13/7/2013,hand,M,13/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
81,13/7/2013,hand,M,13/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
82,13/7/2013,hand,M,13/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
83,13/7/2013,owner,Mpup,NA,_0,7,2013,Jul-13,0,0,0,0,0,0,0
90,15/7/2013,hand,F,15/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
91,15/7/2013,hand,M,15/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
94,15/7/2013,hand,F,15/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
95,15/7/2013,hand,M,15/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,1,0,0
96,15/7/2013,hand,Fpup,15/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,0,0,0
97,15/7/2013,hand,Mpup,15/7/2013,2013_07,7,2013,Jul-13,0,0,0,0,0,0,0
84,18/7/2013,hand,F,18/7/2013,2013_07,7,2013,Jul-13,0,0,0,1,1,0,0
