route_no,survey_no,survey.starting,dog_type,number,number.km,Date,Year,Month,time_point,Adult,Female,Neutered,Lactating,CNR
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
10,10,2014-05-08T07:30:00Z,Female unnotched,45,,8/5/2014,2014,5,1,1,1,0,0,0
