route_no,survey_no,survey.starting,skin,number,number.km,Date,Year,Month,time_point,SC,CNR
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
10,124,2016-11-03T06:34:00Z,unset,147,,3/11/2016,2016,11,6,0,0
