survey_no,route_no,survey.starting,Date,Year,Month,time_point,total_count,CNR
1,1,2014-05-06T06:11:00Z,6/5/2014,2014,5,1,107,1
2,2,2014-05-06T05:54:00Z,6/5/2014,2014,5,1,73,1
3,3,2014-05-06T06:06:00Z,6/5/2014,2014,5,1,91,1
4,4,2014-05-07T06:10:00Z,7/5/2014,2014,5,1,237,0
5,5,2014-05-07T06:00:00Z,7/5/2014,2014,5,1,116,1
6,6,2014-05-07T05:45:00Z,7/5/2014,2014,5,1,75,1
7,7,2014-05-07T06:00:00Z,7/5/2014,2014,5,1,145,0
8,8,2014-05-08T06:15:00Z,8/5/2014,2014,5,1,127,1
9,9,2014-05-08T06:15:00Z,8/5/2014,2014,5,1,89,1
10,10,2014-05-08T07:30:00Z,8/5/2014,2014,5,1,106,0
11,6,2014-05-09T05:45:00Z,9/5/2014,2014,5,1,161,1
12,4,2014-05-09T05:50:00Z,9/5/2014,2014,5,1,204,0
13,9,2014-11-04T06:47:00Z,4/11/2014,2014,11,2,161,1
14,5,2014-11-04T07:56:00Z,4/11/2014,2014,11,2,147,1
15,8,2014-11-04T06:58:00Z,4/11/2014,2014,11,2,139,1
16,9,2014-11-05T06:49:00Z,5/11/2014,2014,11,2,155,1
17,5,2014-11-05T07:49:00Z,5/11/2014,2014,11,2,152,1
18,10,2014-11-07T06:35:00Z,7/11/2014,2014,11,2,113,0
19,8,2014-11-05T06:58:00Z,5/11/2014,2014,11,2,120,1
20,2,2014-11-06T06:40:00Z,6/11/2014,2014,11,2,98,1
21,2,2014-11-07T06:18:00Z,7/11/2014,2014,11,2,104,1
22,7,2014-11-08T06:40:00Z,8/11/2014,2014,11,2,181,0
23,4,2014-11-08T06:19:00Z,8/11/2014,2014,11,2,215,0
24,10,2014-11-08T06:48:00Z,8/11/2014,2014,11,2,146,0
25,3,2014-11-10T06:39:00Z,10/11/2014,2014,11,2,100,1
26,7,2014-11-09T06:38:00Z,9/11/2014,2014,11,2,214,0
27,6,2014-11-09T06:36:00Z,9/11/2014,2014,11,2,166,1
28,6,2014-11-10T06:25:00Z,10/11/2014,2014,11,2,158,1
